n,design,family,method,alpha,effect,rate
20,between-3,norm,RNK,0.01,0,0.0128
20,between-3,norm,INT,0.01,0,0.0118
20,between-3,norm,NON,0.01,0,0.0098
20,between-3,norm,PAR,0.05,0.5,0.2742
20,between-3,norm,RNK,0.05,0.5,0.2654
20,between-3,norm,INT,0.05,0.5,0.2686
20,between-3,norm,NON,0.05,0.5,0.2572
20,between-3,norm,PAR,0.01,0.5,0.1066
20,between-3,norm,RNK,0.01,0.5,0.1066
20,between-3,norm,INT,0.01,0.5,0.1044
20,between-3,norm,NON,0.01,0.5,0.0958
20,between-3,norm,PAR,0.05,1,0.7902
20,between-3,norm,RNK,0.05,1,0.7712
20,between-3,norm,INT,0.05,1,0.7794
20,between-3,norm,NON,0.05,1,0.7626
20,between-3,norm,PAR,0.01,1,0.5652
20,between-3,norm,RNK,0.01,1,0.5478
20,between-3,norm,INT,0.01,1,0.5582
20,between-3,norm,NON,0.01,1,0.5194
20,between-3,norm,PAR,0.05,1.5,0.989
20,between-3,norm,RNK,0.05,1.5,0.9852
20,between-3,norm,INT,0.05,1.5,0.9876
20,between-3,norm,NON,0.05,1.5,0.9838
20,between-3,norm,PAR,0.01,1.5,0.949
20,between-3,norm,RNK,0.01,1.5,0.9436
20,between-3,norm,INT,0.01,1.5,0.9442
20,between-3,norm,NON,0.01,1.5,0.9336
20,between-3,lnorm,PAR,0.05,0,0.0382
20,between-3,lnorm,RNK,0.05,0,0.0554
20,between-3,lnorm,INT,0.05,0,0.0522
20,between-3,lnorm,NON,0.05,0,0.0526
20,between-3,lnorm,PAR,0.01,0,0.005
20,between-3,lnorm,RNK,0.01,0,0.0102
20,between-3,lnorm,INT,0.01,0,0.0092
20,between-3,lnorm,NON,0.01,0,0.0084
20,between-3,lnorm,PAR,0.05,0.5,0.1486
20,between-3,lnorm,RNK,0.05,0.5,0.2516
20,between-3,lnorm,INT,0.05,0.5,0.2518
20,between-3,lnorm,NON,0.05,0.5,0.2438
20,between-3,lnorm,PAR,0.01,0.5,0.0402
20,between-3,lnorm,RNK,0.01,0.5,0.1018
20,between-3,lnorm,INT,0.01,0.5,0.1004
20,between-3,lnorm,NON,0.01,0.5,0.0876
20,between-3,lnorm,PAR,0.05,1,0.5364
20,between-3,lnorm,RNK,0.05,1,0.788
20,between-3,lnorm,INT,0.05,1,0.7924
20,between-3,lnorm,NON,0.05,1,0.7792
20,between-3,lnorm,PAR,0.01,1,0.2524
20,between-3,lnorm,RNK,0.01,1,0.5618
20,between-3,lnorm,INT,0.01,1,0.5686
20,between-3,lnorm,NON,0.01,1,0.528
20,between-3,lnorm,PAR,0.05,1.5,0.8382
20,between-3,lnorm,RNK,0.05,1.5,0.9842
20,between-3,lnorm,INT,0.05,1.5,0.9856
20,between-3,lnorm,NON,0.05,1.5,0.9836
20,between-3,lnorm,PAR,0.01,1.5,0.5824
20,between-3,lnorm,RNK,0.01,1.5,0.9332
20,between-3,lnorm,INT,0.01,1.5,0.941
20,between-3,lnorm,NON,0.01,1.5,0.9222
20,between-3,exp,PAR,0.05,0,0.0436
20,between-3,exp,RNK,0.05,0,0.0514
20,between-3,exp,INT,0.05,0,0.0508
20,between-3,exp,NON,0.05,0,0.0478
20,between-3,exp,PAR,0.01,0,0.0082
20,between-3,exp,RNK,0.01,0,0.0108
20,between-3,exp,INT,0.01,0,0.0092
20,between-3,exp,NON,0.01,0,0.0094
20,between-3,exp,PAR,0.05,0.5,0.2196
20,between-3,exp,RNK,0.05,0.5,0.2178
20,between-3,exp,INT,0.05,0.5,0.223
20,between-3,exp,NON,0.05,0.5,0.2122
20,between-3,exp,PAR,0.01,0.5,0.0716
20,between-3,exp,RNK,0.01,0.5,0.0818
20,between-3,exp,INT,0.01,0.5,0.0818
20,between-3,exp,NON,0.01,0.5,0.0714
20,between-3,exp,PAR,0.05,1,0.6844
20,between-3,exp,RNK,0.05,1,0.662
20,between-3,exp,INT,0.05,1,0.6764
20,between-3,exp,NON,0.05,1,0.6526
20,between-3,exp,PAR,0.01,1,0.382
20,between-3,exp,RNK,0.01,1,0.4244
20,between-3,exp,INT,0.01,1,0.4228
20,between-3,exp,NON,0.01,1,0.3944
20,between-3,exp,PAR,0.05,1.5,0.9438
20,between-3,exp,RNK,0.05,1.5,0.9474
20,between-3,exp,INT,0.05,1.5,0.9446
20,between-3,exp,NON,0.05,1.5,0.9442
20,between-3,exp,PAR,0.01,1.5,0.7634
20,between-3,exp,RNK,0.01,1.5,0.83
20,between-3,exp,INT,0.01,1.5,0.8298
20,between-3,exp,NON,0.01,1.5,0.8122
20,between-3,binom,PAR,0.05,0,0.0472
20,between-3,binom,RNK,0.05,0,0.0454
20,between-3,binom,INT,0.05,0,0.0472
20,between-3,binom,NON,0.05,0,0.0432
20,between-3,binom,PAR,0.01,0,0.0098
20,between-3,binom,RNK,0.01,0,0.0094
20,between-3,binom,INT,0.01,0,0.0096
20,between-3,binom,NON,0.01,0,0.0078
20,between-3,binom,PAR,0.05,0.5,0.237
20,between-3,binom,RNK,0.05,0.5,0.2292
20,between-3,binom,INT,0.05,0.5,0.2396
20,between-3,binom,NON,0.05,0.5,0.2222
20,between-3,binom,PAR,0.01,0.5,0.0882
20,between-3,binom,RNK,0.01,0.5,0.084
20,between-3,binom,INT,0.01,0.5,0.0898
20,between-3,binom,NON,0.01,0.5,0.0748
20,between-3,binom,PAR,0.05,1,0.7056
20,between-3,binom,RNK,0.05,1,0.6826
20,between-3,binom,INT,0.05,1,0.7032
20,between-3,binom,NON,0.05,1,0.6742
20,between-3,binom,PAR,0.01,1,0.4642
20,between-3,binom,RNK,0.01,1,0.4524
20,between-3,binom,INT,0.01,1,0.469
20,between-3,binom,NON,0.01,1,0.4208
20,between-3,binom,PAR,0.05,1.5,0.9626
20,between-3,binom,RNK,0.05,1.5,0.9554
20,between-3,binom,INT,0.05,1.5,0.9614
20,between-3,binom,NON,0.05,1.5,0.9536
20,between-3,binom,PAR,0.01,1.5,0.865
20,between-3,binom,RNK,0.01,1.5,0.8558
20,between-3,binom,INT,0.01,1.5,0.8682
20,between-3,binom,NON,0.01,1.5,0.8374
20,between-3,poisson,PAR,0.05,0,0.0492
20,between-3,poisson,RNK,0.05,0,0.0526
20,between-3,poisson,INT,0.05,0,0.0494
20,between-3,poisson,NON,0.05,0,0.0488
20,between-3,poisson,PAR,0.01,0,0.0096
20,between-3,poisson,RNK,0.01,0,0.0116
20,between-3,poisson,INT,0.01,0,0.009
20,between-3,poisson,NON,0.01,0,0.01
20,between-3,poisson,PAR,0.05,0.5,0.5666
20,between-3,poisson,RNK,0.05,0.5,0.5498
20,between-3,poisson,INT,0.05,0.5,0.564
20,between-3,poisson,NON,0.05,0.5,0.5396
20,between-3,poisson,PAR,0.01,0.5,0.3194
20,between-3,poisson,RNK,0.01,0.5,0.3126
20,between-3,poisson,INT,0.01,0.5,0.3176
20,between-3,poisson,NON,0.01,0.5,0.2904
20,between-3,poisson,PAR,0.05,1,0.9882
20,between-3,poisson,RNK,0.05,1,0.9854
20,between-3,poisson,INT,0.05,1,0.987
20,between-3,poisson,NON,0.05,1,0.9846
20,between-3,poisson,PAR,0.01,1,0.944
20,between-3,poisson,RNK,0.01,1,0.9384
20,between-3,poisson,INT,0.01,1,0.9444
20,between-3,poisson,NON,0.01,1,0.93
20,between-3,poisson,PAR,0.05,1.5,0.9998
20,between-3,poisson,RNK,0.05,1.5,1
20,between-3,poisson,INT,0.05,1.5,1
20,between-3,poisson,NON,0.05,1.5,1
20,between-3,poisson,PAR,0.01,1.5,0.9992
20,between-3,poisson,RNK,0.01,1.5,0.9988
20,between-3,poisson,INT,0.01,1.5,0.999
20,between-3,poisson,NON,0.01,1.5,0.9984
20,between-3,likert,PAR,0.05,0,0.0484
20,between-3,likert,RNK,0.05,0,0.0486
20,between-3,likert,INT,0.05,0,0.0474
20,between-3,likert,NON,0.05,0,0.045
20,between-3,likert,PAR,0.01,0,0.008
20,between-3,likert,RNK,0.01,0,0.0104
20,between-3,likert,INT,0.01,0,0.0092
20,between-3,likert,NON,0.01,0,0.0078
20,between-3,likert,PAR,0.05,0.5,0.2044
20,between-3,likert,RNK,0.05,0.5,0.2128
20,between-3,likert,INT,0.05,0.5,0.213
20,between-3,likert,NON,0.05,0.5,0.206
20,between-3,likert,PAR,0.01,0.5,0.0732
20,between-3,likert,RNK,0.01,0.5,0.081
20,between-3,likert,INT,0.01,0.5,0.08
20,between-3,likert,NON,0.01,0.5,0.069
20,between-3,likert,PAR,0.05,1,0.6598
20,between-3,likert,RNK,0.05,1,0.6712
20,between-3,likert,INT,0.05,1,0.677
20,between-3,likert,NON,0.05,1,0.6596
20,between-3,likert,PAR,0.01,1,0.4102
20,between-3,likert,RNK,0.01,1,0.425
20,between-3,likert,INT,0.01,1,0.4294
20,between-3,likert,NON,0.01,1,0.3956
20,between-3,likert,PAR,0.05,1.5,0.9304
20,between-3,likert,RNK,0.05,1.5,0.9414
20,between-3,likert,INT,0.05,1.5,0.945
20,between-3,likert,NON,0.05,1.5,0.9384
20,between-3,likert,PAR,0.01,1.5,0.8036
20,between-3,likert,RNK,0.01,1.5,0.8288
20,between-3,likert,INT,0.01,1.5,0.83
20,between-3,likert,NON,0.01,1.5,0.8092
20,between-4,norm,PAR,0.05,0,0.0532
20,between-4,norm,RNK,0.05,0,0.053
20,between-4,norm,INT,0.05,0,0.052
20,between-4,norm,NON,0.05,0,0.0494
20,between-4,norm,PAR,0.01,0,0.0116
20,between-4,norm,RNK,0.01,0,0.0124
20,between-4,norm,INT,0.01,0,0.0112
20,between-4,norm,NON,0.01,0,0.0096
20,between-4,norm,PAR,0.05,0.5,0.2422
20,between-4,norm,RNK,0.05,0.5,0.233
20,between-4,norm,INT,0.05,0.5,0.2384
20,between-4,norm,NON,0.05,0.5,0.2248
20,between-4,norm,PAR,0.01,0.5,0.0914
20,between-4,norm,RNK,0.01,0.5,0.0908
20,between-4,norm,INT,0.01,0.5,0.0898
20,between-4,norm,NON,0.01,0.5,0.076
20,between-4,norm,PAR,0.05,1,0.7814
20,between-4,norm,RNK,0.05,1,0.7634
20,between-4,norm,INT,0.05,1,0.7718
20,between-4,norm,NON,0.05,1,0.753
20,between-4,norm,PAR,0.01,1,0.563
20,between-4,norm,RNK,0.01,1,0.5434
20,between-4,norm,INT,0.01,1,0.5548
20,between-4,norm,NON,0.01,1,0.5108
20,between-4,norm,PAR,0.05,1.5,0.9876
20,between-4,norm,RNK,0.05,1.5,0.9832
20,between-4,norm,INT,0.05,1.5,0.9852
20,between-4,norm,NON,0.05,1.5,0.9822
20,between-4,norm,PAR,0.01,1.5,0.9466
20,between-4,norm,RNK,0.01,1.5,0.936
20,between-4,norm,INT,0.01,1.5,0.944
20,between-4,norm,NON,0.01,1.5,0.9282
20,between-4,lnorm,PAR,0.05,0,0.0442
20,between-4,lnorm,RNK,0.05,0,0.0514
20,between-4,lnorm,INT,0.05,0,0.0508
20,between-4,lnorm,NON,0.05,0,0.049
20,between-4,lnorm,PAR,0.01,0,0.007
20,between-4,lnorm,RNK,0.01,0,0.014
20,between-4,lnorm,INT,0.01,0,0.0132
20,between-4,lnorm,NON,0.01,0,0.0106
20,between-4,lnorm,PAR,0.05,0.5,0.146
20,between-4,lnorm,RNK,0.05,0.5,0.249
20,between-4,lnorm,INT,0.05,0.5,0.2554
20,between-4,lnorm,NON,0.05,0.5,0.2398
20,between-4,lnorm,PAR,0.01,0.5,0.0436
20,between-4,lnorm,RNK,0.01,0.5,0.1018
20,between-4,lnorm,INT,0.01,0.5,0.1036
20,between-4,lnorm,NON,0.01,0.5,0.0864
20,between-4,lnorm,PAR,0.05,1,0.5
20,between-4,lnorm,RNK,0.05,1,0.7602
20,between-4,lnorm,INT,0.05,1,0.7724
20,between-4,lnorm,NON,0.05,1,0.7512
20,between-4,lnorm,PAR,0.01,1,0.2448
20,between-4,lnorm,RNK,0.01,1,0.5414
20,between-4,lnorm,INT,0.01,1,0.5556
20,between-4,lnorm,NON,0.01,1,0.508
20,between-4,lnorm,PAR,0.05,1.5,0.8356
20,between-4,lnorm,RNK,0.05,1.5,0.986
20,between-4,lnorm,INT,0.05,1.5,0.9866
20,between-4,lnorm,NON,0.05,1.5,0.9848
20,between-4,lnorm,PAR,0.01,1.5,0.6084
20,between-4,lnorm,RNK,0.01,1.5,0.9404
20,between-4,lnorm,INT,0.01,1.5,0.9458
20,between-4,lnorm,NON,0.01,1.5,0.9308
20,between-4,exp,PAR,0.05,0,0.0492
20,between-4,exp,RNK,0.05,0,0.055
20,between-4,exp,INT,0.05,0,0.0542
20,between-4,exp,NON,0.05,0,0.0512
20,between-4,exp,PAR,0.01,0,0.0084
20,between-4,exp,RNK,0.01,0,0.0102
20,between-4,exp,INT,0.01,0,0.01
20,between-4,exp,NON,0.01,0,0.0082
20,between-4,exp,PAR,0.05,0.5,0.196
20,between-4,exp,RNK,0.05,0.5,0.2012
20,between-4,exp,INT,0.05,0.5,0.2038
20,between-4,exp,NON,0.05,0.5,0.1924
20,between-4,exp,PAR,0.01,0.5,0.0692
20,between-4,exp,RNK,0.01,0.5,0.076
20,between-4,exp,INT,0.01,0.5,0.0734
20,between-4,exp,NON,0.01,0.5,0.0636
20,between-4,exp,PAR,0.05,1,0.6712
20,between-4,exp,RNK,0.05,1,0.6454
20,between-4,exp,INT,0.05,1,0.6492
20,between-4,exp,NON,0.05,1,0.6328
20,between-4,exp,PAR,0.01,1,0.3904
20,between-4,exp,RNK,0.01,1,0.4022
20,between-4,exp,INT,0.01,1,0.407
20,between-4,exp,NON,0.01,1,0.3698
20,between-4,exp,PAR,0.05,1.5,0.9436
20,between-4,exp,RNK,0.05,1.5,0.9494
20,between-4,exp,INT,0.05,1.5,0.9534
20,between-4,exp,NON,0.05,1.5,0.947
20,between-4,exp,PAR,0.01,1.5,0.7906
20,between-4,exp,RNK,0.01,1.5,0.8494
20,between-4,exp,INT,0.01,1.5,0.8532
20,between-4,exp,NON,0.01,1.5,0.8284
20,between-4,binom,PAR,0.05,0,0.0512
20,between-4,binom,RNK,0.05,0,0.0514
20,between-4,binom,INT,0.05,0,0.0528
20,between-4,binom,NON,0.05,0,0.0484
20,between-4,binom,PAR,0.01,0,0.0092
20,between-4,binom,RNK,0.01,0,0.0098
20,between-4,binom,INT,0.01,0,0.008
20,between-4,binom,NON,0.01,0,0.007
20,between-4,binom,PAR,0.05,0.5,0.2272
20,between-4,binom,RNK,0.05,0.5,0.2172
20,between-4,binom,INT,0.05,0.5,0.2258
20,between-4,binom,NON,0.05,0.5,0.2102
20,between-4,binom,PAR,0.01,0.5,0.0862
20,between-4,binom,RNK,0.01,0.5,0.086
20,between-4,binom,INT,0.01,0.5,0.0866
20,between-4,binom,NON,0.01,0.5,0.073
20,between-4,binom,PAR,0.05,1,0.7072
20,between-4,binom,RNK,0.05,1,0.6908
20,between-4,binom,INT,0.05,1,0.7074
20,between-4,binom,NON,0.05,1,0.68
20,between-4,binom,PAR,0.01,1,0.48
20,between-4,binom,RNK,0.01,1,0.4596
20,between-4,binom,INT,0.01,1,0.4848
20,between-4,binom,NON,0.01,1,0.4266
20,between-4,binom,PAR,0.05,1.5,0.9596
20,between-4,binom,RNK,0.05,1.5,0.9544
20,between-4,binom,INT,0.05,1.5,0.9592
20,between-4,binom,NON,0.05,1.5,0.952
20,between-4,binom,PAR,0.01,1.5,0.8746
20,between-4,binom,RNK,0.01,1.5,0.8664
20,between-4,binom,INT,0.01,1.5,0.8784
20,between-4,binom,NON,0.01,1.5,0.8474
20,between-4,poisson,PAR,0.05,0,0.048
20,between-4,poisson,RNK,0.05,0,0.0548
20,between-4,poisson,INT,0.05,0,0.051
20,between-4,poisson,NON,0.05,0,0.0512
20,between-4,poisson,PAR,0.01,0,0.0106
20,between-4,poisson,RNK,0.01,0,0.0104
20,between-4,poisson,INT,0.01,0,0.0108
20,between-4,poisson,NON,0.01,0,0.008
20,between-4,poisson,PAR,0.05,0.5,0.5696
20,between-4,poisson,RNK,0.05,0.5,0.5454
20,between-4,poisson,INT,0.05,0.5,0.5634
20,between-4,poisson,NON,0.05,0.5,0.5362
20,between-4,poisson,PAR,0.01,0.5,0.3336
20,between-4,poisson,RNK,0.01,0.5,0.3166
20,between-4,poisson,INT,0.01,0.5,0.3256
20,between-4,poisson,NON,0.01,0.5,0.2918
20,between-4,poisson,PAR,0.05,1,0.9858
20,between-4,poisson,RNK,0.05,1,0.983
20,between-4,poisson,INT,0.05,1,0.9846
20,between-4,poisson,NON,0.05,1,0.9818
20,between-4,poisson,PAR,0.01,1,0.937
20,between-4,poisson,RNK,0.01,1,0.9362
20,between-4,poisson,INT,0.01,1,0.9424
20,between-4,poisson,NON,0.01,1,0.9282
20,between-4,poisson,PAR,0.05,1.5,1
20,between-4,poisson,RNK,0.05,1.5,1
20,between-4,poisson,INT,0.05,1.5,0.9998
20,between-4,poisson,NON,0.05,1.5,1
20,between-4,poisson,PAR,0.01,1.5,0.9992
20,between-4,poisson,RNK,0.01,1.5,0.999
20,between-4,poisson,INT,0.01,1.5,0.999
20,between-4,poisson,NON,0.01,1.5,0.9984
20,between-4,likert,PAR,0.05,0,0.0468
20,between-4,likert,RNK,0.05,0,0.0496
20,between-4,likert,INT,0.05,0,0.0462
20,between-4,likert,NON,0.05,0,0.0448
20,between-4,likert,PAR,0.01,0,0.009
20,between-4,likert,RNK,0.01,0,0.0088
20,between-4,likert,INT,0.01,0,0.008
20,between-4,likert,NON,0.01,0,0.0078
20,between-4,likert,PAR,0.05,0.5,0.1926
20,between-4,likert,RNK,0.05,0.5,0.1988
20,between-4,likert,INT,0.05,0.5,0.2022
20,between-4,likert,NON,0.05,0.5,0.1918
20,between-4,likert,PAR,0.01,0.5,0.0684
20,between-4,likert,RNK,0.01,0.5,0.0726
20,between-4,likert,INT,0.01,0.5,0.0704
20,between-4,likert,NON,0.01,0.5,0.0602
20,between-4,likert,PAR,0.05,1,0.6352
20,between-4,likert,RNK,0.05,1,0.6524
20,between-4,likert,INT,0.05,1,0.6578
20,between-4,likert,NON,0.05,1,0.6418
20,between-4,likert,PAR,0.01,1,0.4046
20,between-4,likert,RNK,0.01,1,0.4152
20,between-4,likert,INT,0.01,1,0.4194
20,between-4,likert,NON,0.01,1,0.3886
20,between-4,likert,PAR,0.05,1.5,0.9356
20,between-4,likert,RNK,0.05,1.5,0.945
20,between-4,likert,INT,0.05,1.5,0.9486
20,between-4,likert,NON,0.05,1.5,0.9428
20,between-4,likert,PAR,0.01,1.5,0.822
20,between-4,likert,RNK,0.01,1.5,0.8416
20,between-4,likert,INT,0.01,1.5,0.8472
20,between-4,likert,NON,0.01,1.5,0.8226
