n,designStr,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,0,0,0,0.0408,6e-04,0.0571,0.0483,0.0011,0.0603,0.0429,0.001,0.0591,0.0427,8e-04,0.0564,0.0408,6e-04,0.0571
20,4x3,norm,0,0,0,0.0013,0.0158,0.0197,0.0049,0.0126,0.0189,0.0034,0.0129,0.0183,0.0023,0.0146,0.0213,0.0013,0.0158,0.0197
20,4x3,norm,0,0,0,0.0407,0.0039,0.0409,0.0309,0.0096,0.0433,0.033,0.0093,0.0455,0.037,0.0043,0.0386,0.0407,0.0039,0.0409
20,4x3,norm,0,1,0,0.0309,0.125,0.0296,0.0219,0.115,0.0313,0.0289,0.1226,0.0286,0.0299,0.1254,0.0274,0.0309,0.125,0.0296
20,4x3,norm,0,1,0,0.0118,0.2569,0.0324,0.0155,0.2515,0.0422,0.0124,0.2432,0.035,0.0137,0.259,0.0339,0.0118,0.2569,0.0324
20,4x3,norm,0,1,0,0.0075,0.2686,0.0324,0.0055,0.2524,0.025,0.0061,0.2539,0.0323,0.0066,0.2608,0.0279,0.0075,0.2686,0.0324
20,4x3,norm,0,2,0,0.0013,0.5156,0.0229,0.003,0.5241,0.0192,0.0013,0.5251,0.0209,0.0016,0.5007,0.0258,0.0013,0.5156,0.0229
20,4x3,norm,0,2,0,0.0105,0.4765,0.0217,0.0111,0.4844,0.0327,0.0116,0.482,0.034,0.0119,0.4679,0.0253,0.0105,0.4765,0.0217
20,4x3,norm,0,2,0,0.0198,0.4457,0.042,0.0231,0.4692,0.0379,0.0217,0.4769,0.0371,0.0243,0.4475,0.0387,0.0198,0.4457,0.042
20,4x3,norm,0,4,0,0.006,0.8152,0.0252,0.0056,0.7012,0.0229,0.0061,0.6962,0.0292,0.0151,0.6425,0.0193,0.006,0.8152,0.0252
20,4x3,norm,0,4,0,0.0258,0.7215,0.0243,0.0234,0.7439,0.0228,0.0236,0.7444,0.0363,0.0237,0.6902,0.0253,0.0258,0.7215,0.0243
20,4x3,norm,0,4,0,0.0051,0.7647,0.011,0.0068,0.7667,0.0089,0.0048,0.7636,0.0097,0.0043,0.704,0.0089,0.0051,0.7647,0.011
20,4x3,norm,0,8,0,0.0051,0.9432,0.0119,0.0081,0.7196,0.017,0.0042,0.7154,0.0172,0.0035,0.6547,0.0183,0.0051,0.9432,0.0119
20,4x3,norm,0,8,0,0.0184,0.924,0.0183,0.0215,0.8013,0.0176,0.0171,0.7984,0.0159,0.0288,0.7346,0.0206,0.0184,0.924,0.0183
20,4x3,norm,0,8,0,0.0206,0.9228,0.0229,0.0139,0.7795,0.0163,0.0187,0.7763,0.0202,0.0162,0.7222,0.0144,0.0206,0.9228,0.0229
20,4x3,norm,1,0,0,0.1227,0.0169,0.0316,0.1302,0.0228,0.0236,0.1285,0.0216,0.0244,0.1308,0.0177,0.0304,0.1227,0.0169,0.0316
20,4x3,norm,1,0,0,0.1236,0.0039,0.026,0.1183,0.0032,0.0225,0.1147,0.0026,0.0253,0.1292,0.0037,0.028,0.1236,0.0039,0.026
20,4x3,norm,1,0,0,0.1337,0.0037,0.0271,0.1269,0.0025,0.0169,0.1269,0.0017,0.0201,0.1301,0.0034,0.0266,0.1337,0.0037,0.0271
20,4x3,norm,1,1,0,0.183,0.138,0.0186,0.1807,0.1404,0.0289,0.1791,0.1493,0.0244,0.1847,0.1372,0.0189,0.183,0.138,0.0186
20,4x3,norm,1,1,0,0.1165,0.2101,0.0131,0.1057,0.2112,0.0168,0.1024,0.2081,0.0131,0.12,0.2049,0.0148,0.1165,0.2101,0.0131
20,4x3,norm,1,1,0,0.1146,0.1971,0.0262,0.1086,0.2073,0.0263,0.1146,0.2004,0.0235,0.1104,0.1972,0.0263,0.1146,0.1971,0.0262
20,4x3,norm,1,2,0,0.1765,0.4442,0.0261,0.154,0.4675,0.0292,0.1679,0.459,0.0309,0.1696,0.4437,0.0267,0.1765,0.4442,0.0261
20,4x3,norm,1,2,0,0.1692,0.4982,0.024,0.1337,0.5005,0.0202,0.1449,0.5049,0.0186,0.1665,0.4891,0.0249,0.1692,0.4982,0.024
20,4x3,norm,1,2,0,0.1781,0.5496,0.0504,0.1618,0.5355,0.0403,0.1803,0.5437,0.0536,0.1643,0.5132,0.041,0.1781,0.5496,0.0504
20,4x3,norm,1,4,0,0.1926,0.8037,0.0258,0.1862,0.7447,0.0355,0.1955,0.7125,0.0252,0.1969,0.6801,0.0254,0.1926,0.8037,0.0258
20,4x3,norm,1,4,0,0.1594,0.778,0.0558,0.1343,0.7103,0.0363,0.1457,0.6919,0.0531,0.1475,0.6541,0.0374,0.1594,0.778,0.0558
20,4x3,norm,1,4,0,0.188,0.775,0.0272,0.1863,0.775,0.02,0.1972,0.7781,0.0236,0.1772,0.7377,0.021,0.188,0.775,0.0272
20,4x3,norm,1,8,0,0.1505,0.938,0.0156,0.136,0.746,0.0312,0.1315,0.7212,0.0136,0.1436,0.6857,0.0246,0.1505,0.938,0.0156
20,4x3,norm,1,8,0,0.157,0.9457,0.0239,0.1561,0.7727,0.0539,0.1531,0.7442,0.0282,0.1632,0.7125,0.036,0.157,0.9457,0.0239
20,4x3,norm,1,8,0,0.1907,0.9349,0.0464,0.1618,0.8825,0.0529,0.1824,0.8744,0.0303,0.1644,0.8157,0.0522,0.1907,0.9349,0.0464
20,4x3,norm,2,2,0,0.4096,0.4777,0.0437,0.366,0.4361,0.0062,0.4155,0.4772,0.0432,0.4097,0.4799,0.039,0.4096,0.4777,0.0437
20,4x3,norm,2,2,0,0.4433,0.4251,0.0109,0.4525,0.4206,0.0108,0.4569,0.4329,0.012,0.4422,0.4238,0.0086,0.4433,0.4251,0.0109
20,4x3,norm,2,2,0,0.4156,0.4764,0.0119,0.3939,0.4558,0.0127,0.4042,0.4768,0.0125,0.4192,0.4784,0.0143,0.4156,0.4764,0.0119
20,4x3,norm,4,4,0,0.8121,0.8074,0.01,0.7691,0.7574,0.0797,0.7899,0.7056,0.0146,0.7273,0.7203,0.0129,0.8121,0.8074,0.01
20,4x3,norm,4,4,0,0.697,0.7461,0.0517,0.6788,0.7475,0.0906,0.6964,0.7594,0.0481,0.6815,0.7273,0.0271,0.697,0.7461,0.0517
20,4x3,norm,4,4,0,0.7203,0.7521,0.0412,0.6602,0.6976,0.0741,0.5998,0.686,0.033,0.6674,0.6886,0.0392,0.7203,0.7521,0.0412
20,4x3,norm,8,8,0,0.936,0.9326,0.0241,0.9131,0.9151,0.3508,0.8393,0.8986,0.0232,0.8745,0.875,0.1196,0.936,0.9326,0.0241
20,4x3,norm,8,8,0,0.9099,0.9147,0.0216,0.8884,0.895,0.1583,0.8665,0.9027,0.0269,0.8609,0.869,0.0245,0.9099,0.9147,0.0216
20,4x3,norm,8,8,0,0.9239,0.9419,0.0233,0.8089,0.8506,0.1843,0.795,0.7431,0.0181,0.7445,0.7873,0.0143,0.9239,0.9419,0.0233
20,4x3,lnorm,0,0,0,0.0133,0.0119,0.0481,0.0139,0.0203,0.0464,0.0131,0.0109,0.0469,0.0109,0.021,0.0406,0.0116,0.02,0.0403
20,4x3,lnorm,0,0,0,0.0061,0.0057,0.0177,0.0084,1e-04,0.0213,0.0049,0.0013,0.0175,0.0078,0.0037,0.0245,0.0061,0.0026,0.0238
20,4x3,lnorm,0,0,0,0.0028,0.0074,0.0144,0.0116,0.0143,0.038,0.0141,0.0184,0.0421,0.0142,0.0142,0.0301,0.0138,0.014,0.0323
20,4x3,lnorm,0,1,0,0.0125,0.0734,0.0256,0.0043,0.1582,0.0064,0.0552,0.1672,0.031,0.0062,0.1683,0.0076,0.0076,0.1725,0.0081
20,4x3,lnorm,0,1,0,0.0256,0.1114,0.0567,0.0233,0.1704,0.0621,0.0758,0.1689,0.1144,0.0197,0.1853,0.0714,0.0215,0.1822,0.0741
20,4x3,lnorm,0,1,0,0.0118,0.1621,0.0499,0.0067,0.2166,0.0347,0.0196,0.2259,0.0565,0.0085,0.2168,0.0347,0.0067,0.2172,0.0319
20,4x3,lnorm,0,2,0,0.0038,0.2371,0.0343,0.0068,0.4952,0.0153,0.0645,0.3829,0.0541,0.0056,0.459,0.021,0.0045,0.4858,0.0186
20,4x3,lnorm,0,2,0,0.0246,0.1952,0.0244,0.0216,0.462,0.0369,0.025,0.4272,0.0302,0.0229,0.453,0.0284,0.0253,0.4593,0.0296
20,4x3,lnorm,0,2,0,0.0055,0.244,0.0067,0.0185,0.5253,0.0179,0.0502,0.4701,0.046,0.0178,0.4944,0.0188,0.0176,0.5199,0.0182
20,4x3,lnorm,0,4,0,0.01,0.264,0.0267,0.0094,0.7737,0.0566,0.1401,0.6679,0.1444,0.0057,0.7267,0.0475,0.0081,0.7565,0.0493
20,4x3,lnorm,0,4,0,0.0041,0.1937,0.0154,0.0097,0.7135,0.0086,0.0033,0.5822,0.0177,0.0074,0.649,0.0061,0.0055,0.7532,0.0104
20,4x3,lnorm,0,4,0,0.0153,0.2082,0.0754,6e-04,0.6938,0.0318,0.0441,0.4705,0.0596,0.0038,0.6313,0.0506,0.0023,0.8112,0.0436
20,4x3,lnorm,0,8,0,0.0083,0.5099,0.0165,0.0269,0.7148,0.038,0.2489,0.6974,0.181,0.0147,0.6382,0.0233,0.0237,0.9419,0.0357
20,4x3,lnorm,0,8,0,0.0196,0.227,0.0105,0.0312,0.7789,0.0241,0.0698,0.6006,0.0973,0.0354,0.7183,0.0144,0.0296,0.9471,0.0137
20,4x3,lnorm,0,8,0,0.0184,0.3131,0.0361,0.0193,0.7371,0.0324,0.287,0.539,0.2227,0.0232,0.6767,0.0413,0.0225,0.9398,0.028
20,4x3,lnorm,1,0,0,0.049,0.0013,0.0356,0.1581,9e-04,0.0299,0.1372,0.0011,0.0355,0.1514,0.0011,0.0357,0.1508,0.0011,0.0345
20,4x3,lnorm,1,0,0,0.0985,0.0012,0.0245,0.2069,0.005,0.027,0.1767,0.0026,0.0166,0.2048,0.0027,0.0275,0.2073,0.0026,0.0287
20,4x3,lnorm,1,0,0,0.0446,0.0077,0.0155,0.1106,0.0064,0.0054,0.0966,0.028,0.0058,0.1183,0.005,0.006,0.1154,0.0059,0.0045
20,4x3,lnorm,1,1,0,0.0436,0.0518,0.0263,0.196,0.2292,0.0153,0.1378,0.2845,0.0345,0.1912,0.2404,0.0119,0.196,0.24,0.0099
20,4x3,lnorm,1,1,0,0.0578,0.0617,0.0328,0.1531,0.1166,0.0333,0.1605,0.1137,0.0944,0.1495,0.1248,0.0326,0.1512,0.1208,0.0318
20,4x3,lnorm,1,1,0,0.1362,0.1091,0.0513,0.165,0.1709,0.0145,0.1266,0.2332,0.0922,0.1861,0.1969,0.0166,0.1867,0.1949,0.0149
20,4x3,lnorm,1,2,0,0.0678,0.1795,0.0441,0.2357,0.4863,0.096,0.2952,0.3709,0.1553,0.2447,0.4635,0.0878,0.2437,0.4736,0.0836
20,4x3,lnorm,1,2,0,0.0961,0.3233,0.1037,0.1243,0.4361,0.0562,0.2582,0.3921,0.2218,0.12,0.4211,0.0565,0.1285,0.4313,0.053
20,4x3,lnorm,1,2,0,0.0872,0.1885,0.0639,0.1531,0.4288,0.0236,0.1778,0.3617,0.1237,0.1453,0.4281,0.0288,0.1523,0.426,0.026
20,4x3,lnorm,1,4,0,0.0321,0.1688,0.0579,0.0759,0.6979,0.0287,0.2874,0.4806,0.2456,0.1003,0.6473,0.0185,0.0945,0.7473,0.0219
20,4x3,lnorm,1,4,0,0.0113,0.2814,0.0199,0.1643,0.7209,0.0802,0.2892,0.5159,0.2025,0.1379,0.6532,0.0549,0.1445,0.8058,0.0469
20,4x3,lnorm,1,4,0,0.0296,0.2512,0.0518,0.1236,0.7306,0.0249,0.2863,0.3821,0.2171,0.1177,0.6762,0.0219,0.1236,0.7463,0.0159
20,4x3,lnorm,1,8,0,0.0469,0.2311,0.0896,0.2082,0.7559,0.0474,0.2874,0.4757,0.2255,0.1826,0.6839,0.0196,0.2076,0.9378,0.0195
20,4x3,lnorm,1,8,0,0.0291,0.3016,0.056,0.1595,0.9092,0.018,0.3164,0.6582,0.2573,0.1129,0.8294,0.0292,0.146,0.9224,0.0194
20,4x3,lnorm,1,8,0,0.0456,0.3362,0.0872,0.0552,0.7374,0.0236,0.3056,0.5194,0.2591,0.0604,0.6775,0.039,0.0621,0.9437,0.0362
20,4x3,lnorm,2,2,0,0.1759,0.1256,0.0529,0.3854,0.4293,0.0363,0.1934,0.3616,0.1182,0.3795,0.4194,0.0286,0.3892,0.4355,0.0316
20,4x3,lnorm,2,2,0,0.0962,0.1273,0.0401,0.3152,0.4332,0.0509,0.2063,0.2958,0.0685,0.3378,0.4365,0.0485,0.3614,0.4584,0.0624
20,4x3,lnorm,2,2,0,0.3742,0.1783,0.1699,0.4343,0.3833,0.0555,0.4301,0.4861,0.3562,0.4328,0.3669,0.045,0.4461,0.3773,0.0415
20,4x3,lnorm,4,4,0,0.2498,0.1932,0.3635,0.6777,0.736,0.1277,0.5451,0.5845,0.769,0.6519,0.7046,0.0608,0.7222,0.7582,0.0432
20,4x3,lnorm,4,4,0,0.2446,0.1968,0.2015,0.7583,0.703,0.0358,0.4686,0.3814,0.4164,0.7208,0.6831,0.0127,0.7759,0.737,0.0187
20,4x3,lnorm,4,4,0,0.1499,0.0731,0.1163,0.7871,0.8038,0.1319,0.5224,0.5602,0.48,0.7532,0.7662,0.0575,0.7849,0.8008,0.0636
20,4x3,lnorm,8,8,0,0.3193,0.4053,0.4834,0.8062,0.8748,0.1355,0.5023,0.5978,0.7139,0.799,0.8495,0.0541,0.9197,0.9439,0.0223
20,4x3,lnorm,8,8,0,0.1183,0.0817,0.1933,0.8949,0.9226,0.2238,0.5186,0.6362,0.6234,0.8863,0.9077,0.0355,0.9072,0.9298,0.0179
20,4x3,lnorm,8,8,0,0.0864,0.0597,0.1581,0.8863,0.9119,0.3005,0.4772,0.5623,0.7267,0.842,0.8704,0.0825,0.9157,0.9301,0.0493
20,4x3,likert,0,0,0,0.0086,0.0021,0.0111,0.0158,0.0029,0.0118,0.0047,0.001,0.0592,0.0116,0.0017,0.012,0.0071,0.0077,0.0159
20,4x3,likert,0,0,0,0.0145,0.0011,0.0462,0.0146,8e-04,0.0447,0.0132,0.0015,0.048,0.0147,9e-04,0.0418,0.0074,4e-04,0.0392
20,4x3,likert,0,0,0,0.0193,0.0219,0.0285,0.0121,0.0194,0.0195,0.0114,0.0149,0.0083,0.0158,0.0199,0.0217,0.019,0.0168,0.0211
20,4x3,likert,0,1,0,0.0548,0.1472,0.0236,0.055,0.1227,0.0116,0.094,0.3437,0.0584,0.0571,0.135,0.0135,0.0638,0.2262,0.0086
20,4x3,likert,0,1,0,0.0052,0.1406,0.0311,0.0105,0.126,0.052,0.0215,0.1691,0.0689,0.0088,0.1319,0.047,0.0204,0.1769,0.056
20,4x3,likert,0,1,0,0.0186,0.0807,0.0323,0.0177,0.0666,0.0254,0.0683,0.1022,0.0771,0.0154,0.0653,0.0291,0.0069,0.0939,0.0241
20,4x3,likert,0,2,0,0.0087,0.4607,0.0103,0.0061,0.4332,0.01,0.0124,0.408,0.026,0.0049,0.417,0.0117,0.0016,0.4791,0.0097
20,4x3,likert,0,2,0,0.0029,0.3842,0.0167,0.0034,0.4032,0.0193,0.0028,0.3707,0.0169,0.0032,0.3821,0.0166,0.007,0.419,0.0104
20,4x3,likert,0,2,0,0.015,0.2664,0.0211,0.0116,0.4022,0.0334,0.0893,0.375,0.1097,0.0127,0.3625,0.0322,0.0036,0.5049,0.0115
20,4x3,likert,0,4,0,0.0051,0.2447,0.0264,0.0044,0.2775,0.0247,0.0178,0.2475,0.0343,0.0044,0.2561,0.026,0.0139,0.7348,0.0233
20,4x3,likert,0,4,0,0.0066,0.6013,0.0127,0.0054,0.612,0.0175,0.0037,0.5833,0.0188,0.0079,0.5898,0.0124,0.0036,0.7785,0.0181
20,4x3,likert,0,4,0,0.029,0.3294,0.0268,0.0425,0.3995,0.0435,0.0833,0.41,0.0771,0.0373,0.3817,0.0344,0.0131,0.759,0.0324
20,4x3,likert,0,8,0,0.0039,0.6674,0.0078,0.0044,0.9643,0.0088,0.2224,0.9584,0.1285,0.0042,0.8819,0.0083,1e-04,0.9426,0.0364
20,4x3,likert,0,8,0,0.0068,0.833,0.0046,0.0077,0.8813,0.0036,0.0433,0.8764,0.0177,0.0071,0.8707,0.0055,0.0066,0.9197,0.0281
20,4x3,likert,0,8,0,0.0108,0.5554,0.006,0.0103,0.5759,0.0053,0.0277,0.5157,0.0034,0.011,0.5462,0.0063,0.0102,0.9339,0.0091
20,4x3,likert,1,0,0,0.0891,0.0147,0.0183,0.0833,0.0168,0.0192,0.0864,0.0076,0.018,0.0858,0.0159,0.019,0.114,0.0116,0.0117
20,4x3,likert,1,0,0,0.2038,0.0034,0.0765,0.2033,0.0027,0.0781,0.2091,6e-04,0.0818,0.2012,0.0019,0.0801,0.2055,0.0122,0.0626
20,4x3,likert,1,0,0,0.0524,0.0026,0.011,0.0594,0.0017,0.0101,0.0561,7e-04,0.0095,0.0565,0.0021,0.0101,0.0661,3e-04,0.0195
20,4x3,likert,1,1,0,0.1584,0.1357,0.0294,0.1578,0.1391,0.0282,0.1896,0.1738,0.0734,0.1594,0.1386,0.0288,0.2478,0.1669,0.0126
20,4x3,likert,1,1,0,0.0413,0.0618,0.0233,0.0419,0.0613,0.023,0.2774,0.0365,0.134,0.0415,0.0617,0.0232,0.1873,0.2202,0.023
20,4x3,likert,1,1,0,0.1446,0.1135,0.0371,0.1406,0.1322,0.0417,0.1328,0.182,0.0596,0.1373,0.1187,0.0366,0.1522,0.1341,0.038
20,4x3,likert,1,2,0,0.1332,0.4129,0.0654,0.1308,0.4342,0.0556,0.1593,0.4531,0.1168,0.1249,0.4178,0.0542,0.1088,0.4923,0.0332
20,4x3,likert,1,2,0,0.1188,0.5254,0.0401,0.1067,0.5095,0.0299,0.1691,0.4612,0.0358,0.1277,0.4946,0.0244,0.1303,0.5561,0.0109
20,4x3,likert,1,2,0,0.1117,0.2769,0.0128,0.1043,0.2837,0.0129,0.102,0.3274,0.0257,0.1178,0.2699,0.0156,0.1677,0.4078,0.0165
20,4x3,likert,1,4,0,0.1331,0.6719,0.025,0.1106,0.7254,0.019,0.1324,0.7163,0.0329,0.1418,0.6814,0.0268,0.137,0.7555,0.0295
20,4x3,likert,1,4,0,0.1023,0.6853,0.1225,0.0683,0.8218,0.0545,0.2671,0.7737,0.1753,0.0942,0.7991,0.0763,0.1424,0.8055,0.0713
20,4x3,likert,1,4,0,0.055,0.625,0.0406,0.0483,0.6522,0.0363,0.0188,0.6484,0.0695,0.0577,0.601,0.0426,0.2016,0.8118,0.0185
20,4x3,likert,1,8,0,0.0768,0.4079,0.0663,0.0872,0.4331,0.0591,0.1103,0.4705,0.1011,0.0804,0.4174,0.0561,0.1076,0.9263,0.0057
20,4x3,likert,1,8,0,0.0925,0.973,0.1172,0.0861,0.9823,0.0786,0.4186,0.9521,0.3944,0.0942,0.9314,0.131,0.1255,0.9294,0.0144
20,4x3,likert,1,8,0,0.0655,0.8608,0.0234,0.0661,0.8317,0.0317,0.0815,0.7645,0.0496,0.0682,0.8016,0.0236,0.08,0.9245,0.0087
20,4x3,likert,2,2,0,0.4495,0.4419,0.1759,0.4066,0.3954,0.0348,0.4781,0.5193,0.2242,0.4443,0.4347,0.0595,0.4929,0.5099,0.0221
20,4x3,likert,2,2,0,0.3291,0.3354,0.007,0.3397,0.32,0.007,0.3518,0.3183,0.0146,0.3449,0.3324,0.0141,0.3875,0.4045,0.0074
20,4x3,likert,2,2,0,0.2506,0.378,0.0313,0.2799,0.3691,0.042,0.2369,0.3614,0.05,0.2767,0.37,0.0377,0.2852,0.3727,0.0203
20,4x3,likert,4,4,0,0.5605,0.6943,0.1059,0.5815,0.7037,0.1018,0.598,0.6685,0.1019,0.5942,0.704,0.0966,0.7196,0.7894,0.0222
20,4x3,likert,4,4,0,0.5784,0.6208,0.032,0.5653,0.6298,0.0443,0.5304,0.6419,0.039,0.5696,0.6198,0.0274,0.7283,0.7716,0.0051
20,4x3,likert,4,4,0,0.5543,0.5958,0.0586,0.577,0.6457,0.0521,0.6596,0.6562,0.0941,0.5701,0.6301,0.0471,0.712,0.757,0.0288
20,4x3,likert,8,8,0,0.7155,0.8332,0.7302,0.6638,0.7799,0.581,0.7877,0.7228,0.7777,0.6843,0.7993,0.6097,0.9084,0.9038,0.0602
20,4x3,likert,8,8,0,0.8596,0.8099,0.4631,0.8478,0.8057,0.2964,0.8,0.8299,0.592,0.8006,0.756,0.2,0.9278,0.9254,0.0098
20,4x3,likert,8,8,0,0.8734,0.8737,0.0176,0.8778,0.8789,0.1519,0.8498,0.8635,0.0781,0.8716,0.872,0.0126,0.9288,0.9342,0.0162
