n,design,family,sd_ratio,method,alpha,effect,rate
20,between-3,norm,1,PAR,0.01,0,0.0084
20,between-3,norm,1,RNK,0.01,0,0.0096
20,between-3,norm,1,INT,0.01,0,0.0104
20,between-3,norm,1,NON,0.01,0,0.0086
20,between-3,norm,1.5,PAR,0.05,0,0.0496
20,between-3,norm,1.5,RNK,0.05,0,0.0506
20,between-3,norm,1.5,INT,0.05,0,0.0474
20,between-3,norm,1.5,NON,0.05,0,0.047
20,between-3,norm,1.5,PAR,0.01,0,0.0112
20,between-3,norm,1.5,RNK,0.01,0,0.0112
20,between-3,norm,1.5,INT,0.01,0,0.0106
20,between-3,norm,1.5,NON,0.01,0,0.008
20,between-3,norm,2,PAR,0.05,0,0.0576
20,between-3,norm,2,RNK,0.05,0,0.0582
20,between-3,norm,2,INT,0.05,0,0.051
20,between-3,norm,2,NON,0.05,0,0.056
20,between-3,norm,2,PAR,0.01,0,0.0134
20,between-3,norm,2,RNK,0.01,0,0.015
20,between-3,norm,2,INT,0.01,0,0.0128
20,between-3,norm,2,NON,0.01,0,0.0118
20,between-3,norm,2.5,PAR,0.05,0,0.062
20,between-3,norm,2.5,RNK,0.05,0,0.0584
20,between-3,norm,2.5,INT,0.05,0,0.0516
20,between-3,norm,2.5,NON,0.05,0,0.0568
20,between-3,norm,2.5,PAR,0.01,0,0.0134
20,between-3,norm,2.5,RNK,0.01,0,0.012
20,between-3,norm,2.5,INT,0.01,0,0.0106
20,between-3,norm,2.5,NON,0.01,0,0.0094
20,between-3,norm,3,PAR,0.05,0,0.0624
20,between-3,norm,3,RNK,0.05,0,0.059
20,between-3,norm,3,INT,0.05,0,0.0478
20,between-3,norm,3,NON,0.05,0,0.0552
20,between-3,norm,3,PAR,0.01,0,0.0186
20,between-3,norm,3,RNK,0.01,0,0.0168
20,between-3,norm,3,INT,0.01,0,0.012
20,between-3,norm,3,NON,0.01,0,0.0116
20,between-3,likert_5,1,PAR,0.05,0,0.0456
20,between-3,likert_5,1,RNK,0.05,0,0.047
20,between-3,likert_5,1,INT,0.05,0,0.0468
20,between-3,likert_5,1,NON,0.05,0,0.0442
20,between-3,likert_5,1,PAR,0.01,0,0.0082
20,between-3,likert_5,1,RNK,0.01,0,0.0084
20,between-3,likert_5,1,INT,0.01,0,0.008
20,between-3,likert_5,1,NON,0.01,0,0.007
20,between-3,likert_5,1.5,PAR,0.05,0,0.052
20,between-3,likert_5,1.5,RNK,0.05,0,0.0508
20,between-3,likert_5,1.5,INT,0.05,0,0.0506
20,between-3,likert_5,1.5,NON,0.05,0,0.0494
20,between-3,likert_5,1.5,PAR,0.01,0,0.0102
20,between-3,likert_5,1.5,RNK,0.01,0,0.0106
20,between-3,likert_5,1.5,INT,0.01,0,0.0094
20,between-3,likert_5,1.5,NON,0.01,0,0.009
20,between-3,likert_5,2,PAR,0.05,0,0.054
20,between-3,likert_5,2,RNK,0.05,0,0.0556
20,between-3,likert_5,2,INT,0.05,0,0.0496
20,between-3,likert_5,2,NON,0.05,0,0.0524
20,between-3,likert_5,2,PAR,0.01,0,0.0144
20,between-3,likert_5,2,RNK,0.01,0,0.0152
20,between-3,likert_5,2,INT,0.01,0,0.0142
20,between-3,likert_5,2,NON,0.01,0,0.0136
20,between-3,likert_5,2.5,PAR,0.05,0,0.057
20,between-3,likert_5,2.5,RNK,0.05,0,0.0594
20,between-3,likert_5,2.5,INT,0.05,0,0.0518
20,between-3,likert_5,2.5,NON,0.05,0,0.0574
20,between-3,likert_5,2.5,PAR,0.01,0,0.0138
20,between-3,likert_5,2.5,RNK,0.01,0,0.0136
20,between-3,likert_5,2.5,INT,0.01,0,0.0112
20,between-3,likert_5,2.5,NON,0.01,0,0.0118
20,between-3,likert_5,3,PAR,0.05,0,0.0574
20,between-3,likert_5,3,RNK,0.05,0,0.0604
20,between-3,likert_5,3,INT,0.05,0,0.0514
20,between-3,likert_5,3,NON,0.05,0,0.0578
20,between-3,likert_5,3,PAR,0.01,0,0.0156
20,between-3,likert_5,3,RNK,0.01,0,0.0166
20,between-3,likert_5,3,INT,0.01,0,0.0128
20,between-3,likert_5,3,NON,0.01,0,0.0128
20,between-3,likert_5_flex,1,PAR,0.05,0,0.0512
20,between-3,likert_5_flex,1,RNK,0.05,0,0.0528
20,between-3,likert_5_flex,1,INT,0.05,0,0.052
20,between-3,likert_5_flex,1,NON,0.05,0,0.0504
20,between-3,likert_5_flex,1,PAR,0.01,0,0.0106
20,between-3,likert_5_flex,1,RNK,0.01,0,0.0116
20,between-3,likert_5_flex,1,INT,0.01,0,0.0118
20,between-3,likert_5_flex,1,NON,0.01,0,0.0092
20,between-3,likert_5_flex,1.5,PAR,0.05,0,0.0548
20,between-3,likert_5_flex,1.5,RNK,0.05,0,0.0512
20,between-3,likert_5_flex,1.5,INT,0.05,0,0.0494
20,between-3,likert_5_flex,1.5,NON,0.05,0,0.0486
20,between-3,likert_5_flex,1.5,PAR,0.01,0,0.0154
20,between-3,likert_5_flex,1.5,RNK,0.01,0,0.0142
20,between-3,likert_5_flex,1.5,INT,0.01,0,0.0138
20,between-3,likert_5_flex,1.5,NON,0.01,0,0.0118
20,between-3,likert_5_flex,2,PAR,0.05,0,0.0854
20,between-3,likert_5_flex,2,RNK,0.05,0,0.0708
20,between-3,likert_5_flex,2,INT,0.05,0,0.0704
20,between-3,likert_5_flex,2,NON,0.05,0,0.0674
20,between-3,likert_5_flex,2,PAR,0.01,0,0.0224
20,between-3,likert_5_flex,2,RNK,0.01,0,0.0194
20,between-3,likert_5_flex,2,INT,0.01,0,0.016
20,between-3,likert_5_flex,2,NON,0.01,0,0.0152
20,between-3,likert_5_flex,2.5,PAR,0.05,0,0.1056
20,between-3,likert_5_flex,2.5,RNK,0.05,0,0.0838
20,between-3,likert_5_flex,2.5,INT,0.05,0,0.0816
20,between-3,likert_5_flex,2.5,NON,0.05,0,0.0802
20,between-3,likert_5_flex,2.5,PAR,0.01,0,0.0308
20,between-3,likert_5_flex,2.5,RNK,0.01,0,0.023
20,between-3,likert_5_flex,2.5,INT,0.01,0,0.0234
20,between-3,likert_5_flex,2.5,NON,0.01,0,0.0194
20,between-3,likert_5_flex,3,PAR,0.05,0,0.1176
20,between-3,likert_5_flex,3,RNK,0.05,0,0.0928
20,between-3,likert_5_flex,3,INT,0.05,0,0.0846
20,between-3,likert_5_flex,3,NON,0.05,0,0.0882
20,between-3,likert_5_flex,3,PAR,0.01,0,0.034
20,between-3,likert_5_flex,3,RNK,0.01,0,0.023
20,between-3,likert_5_flex,3,INT,0.01,0,0.0228
20,between-3,likert_5_flex,3,NON,0.01,0,0.0198
20,between-3,likert_7,1,PAR,0.05,0,0.0514
20,between-3,likert_7,1,RNK,0.05,0,0.052
20,between-3,likert_7,1,INT,0.05,0,0.0522
20,between-3,likert_7,1,NON,0.05,0,0.0488
20,between-3,likert_7,1,PAR,0.01,0,0.0116
20,between-3,likert_7,1,RNK,0.01,0,0.012
20,between-3,likert_7,1,INT,0.01,0,0.0116
20,between-3,likert_7,1,NON,0.01,0,0.0102
20,between-3,likert_7,1.5,PAR,0.05,0,0.0482
20,between-3,likert_7,1.5,RNK,0.05,0,0.0488
20,between-3,likert_7,1.5,INT,0.05,0,0.0482
20,between-3,likert_7,1.5,NON,0.05,0,0.046
20,between-3,likert_7,1.5,PAR,0.01,0,0.0108
20,between-3,likert_7,1.5,RNK,0.01,0,0.0094
20,between-3,likert_7,1.5,INT,0.01,0,0.0106
20,between-3,likert_7,1.5,NON,0.01,0,0.0078
20,between-3,likert_7,2,PAR,0.05,0,0.0544
20,between-3,likert_7,2,RNK,0.05,0,0.0556
20,between-3,likert_7,2,INT,0.05,0,0.0492
20,between-3,likert_7,2,NON,0.05,0,0.0524
20,between-3,likert_7,2,PAR,0.01,0,0.0152
20,between-3,likert_7,2,RNK,0.01,0,0.016
20,between-3,likert_7,2,INT,0.01,0,0.0152
20,between-3,likert_7,2,NON,0.01,0,0.0124
20,between-3,likert_7,2.5,PAR,0.05,0,0.0526
20,between-3,likert_7,2.5,RNK,0.05,0,0.0586
20,between-3,likert_7,2.5,INT,0.05,0,0.047
20,between-3,likert_7,2.5,NON,0.05,0,0.055
20,between-3,likert_7,2.5,PAR,0.01,0,0.0126
20,between-3,likert_7,2.5,RNK,0.01,0,0.0134
20,between-3,likert_7,2.5,INT,0.01,0,0.0114
20,between-3,likert_7,2.5,NON,0.01,0,0.0112
20,between-3,likert_7,3,PAR,0.05,0,0.0538
20,between-3,likert_7,3,RNK,0.05,0,0.0614
20,between-3,likert_7,3,INT,0.05,0,0.0488
20,between-3,likert_7,3,NON,0.05,0,0.0578
20,between-3,likert_7,3,PAR,0.01,0,0.0144
20,between-3,likert_7,3,RNK,0.01,0,0.017
20,between-3,likert_7,3,INT,0.01,0,0.0124
20,between-3,likert_7,3,NON,0.01,0,0.014
20,between-3,likert_7_flex,1,PAR,0.05,0,0.0506
20,between-3,likert_7_flex,1,RNK,0.05,0,0.0528
20,between-3,likert_7_flex,1,INT,0.05,0,0.0516
20,between-3,likert_7_flex,1,NON,0.05,0,0.0508
20,between-3,likert_7_flex,1,PAR,0.01,0,0.0098
20,between-3,likert_7_flex,1,RNK,0.01,0,0.0092
20,between-3,likert_7_flex,1,INT,0.01,0,0.0092
20,between-3,likert_7_flex,1,NON,0.01,0,0.0074
20,between-3,likert_7_flex,1.5,PAR,0.05,0,0.0628
20,between-3,likert_7_flex,1.5,RNK,0.05,0,0.0544
20,between-3,likert_7_flex,1.5,INT,0.05,0,0.0524
20,between-3,likert_7_flex,1.5,NON,0.05,0,0.0508
20,between-3,likert_7_flex,1.5,PAR,0.01,0,0.0118
20,between-3,likert_7_flex,1.5,RNK,0.01,0,0.012
20,between-3,likert_7_flex,1.5,INT,0.01,0,0.0104
20,between-3,likert_7_flex,1.5,NON,0.01,0,0.0088
20,between-3,likert_7_flex,2,PAR,0.05,0,0.07
20,between-3,likert_7_flex,2,RNK,0.05,0,0.0554
20,between-3,likert_7_flex,2,INT,0.05,0,0.0524
20,between-3,likert_7_flex,2,NON,0.05,0,0.0524
20,between-3,likert_7_flex,2,PAR,0.01,0,0.0214
20,between-3,likert_7_flex,2,RNK,0.01,0,0.0138
20,between-3,likert_7_flex,2,INT,0.01,0,0.0132
20,between-3,likert_7_flex,2,NON,0.01,0,0.0118
20,between-3,likert_7_flex,2.5,PAR,0.05,0,0.093
20,between-3,likert_7_flex,2.5,RNK,0.05,0,0.0686
20,between-3,likert_7_flex,2.5,INT,0.05,0,0.0586
20,between-3,likert_7_flex,2.5,NON,0.05,0,0.0658
20,between-3,likert_7_flex,2.5,PAR,0.01,0,0.027
20,between-3,likert_7_flex,2.5,RNK,0.01,0,0.0192
20,between-3,likert_7_flex,2.5,INT,0.01,0,0.0182
20,between-3,likert_7_flex,2.5,NON,0.01,0,0.0166
20,between-3,likert_7_flex,3,PAR,0.05,0,0.1036
20,between-3,likert_7_flex,3,RNK,0.05,0,0.075
20,between-3,likert_7_flex,3,INT,0.05,0,0.0692
20,between-3,likert_7_flex,3,NON,0.05,0,0.071
20,between-3,likert_7_flex,3,PAR,0.01,0,0.0328
20,between-3,likert_7_flex,3,RNK,0.01,0,0.0228
20,between-3,likert_7_flex,3,INT,0.01,0,0.0192
20,between-3,likert_7_flex,3,NON,0.01,0,0.0182
20,between-4,norm,1,PAR,0.05,0,0.0494
20,between-4,norm,1,RNK,0.05,0,0.0498
20,between-4,norm,1,INT,0.05,0,0.0462
20,between-4,norm,1,NON,0.05,0,0.0462
20,between-4,norm,1,PAR,0.01,0,0.0104
20,between-4,norm,1,RNK,0.01,0,0.0102
20,between-4,norm,1,INT,0.01,0,0.0094
20,between-4,norm,1,NON,0.01,0,0.0076
20,between-4,norm,1.5,PAR,0.05,0,0.0526
20,between-4,norm,1.5,RNK,0.05,0,0.0516
20,between-4,norm,1.5,INT,0.05,0,0.0506
20,between-4,norm,1.5,NON,0.05,0,0.0488
20,between-4,norm,1.5,PAR,0.01,0,0.0128
20,between-4,norm,1.5,RNK,0.01,0,0.0122
20,between-4,norm,1.5,INT,0.01,0,0.0114
20,between-4,norm,1.5,NON,0.01,0,0.0084
20,between-4,norm,2,PAR,0.05,0,0.0558
20,between-4,norm,2,RNK,0.05,0,0.0584
20,between-4,norm,2,INT,0.05,0,0.0536
20,between-4,norm,2,NON,0.05,0,0.0532
20,between-4,norm,2,PAR,0.01,0,0.0164
20,between-4,norm,2,RNK,0.01,0,0.0136
20,between-4,norm,2,INT,0.01,0,0.0152
20,between-4,norm,2,NON,0.01,0,0.0122
20,between-4,norm,2.5,PAR,0.05,0,0.0606
20,between-4,norm,2.5,RNK,0.05,0,0.0568
20,between-4,norm,2.5,INT,0.05,0,0.0566
20,between-4,norm,2.5,NON,0.05,0,0.0532
20,between-4,norm,2.5,PAR,0.01,0,0.0164
20,between-4,norm,2.5,RNK,0.01,0,0.0126
20,between-4,norm,2.5,INT,0.01,0,0.011
20,between-4,norm,2.5,NON,0.01,0,0.0102
20,between-4,norm,3,PAR,0.05,0,0.0636
20,between-4,norm,3,RNK,0.05,0,0.06
20,between-4,norm,3,INT,0.05,0,0.0546
20,between-4,norm,3,NON,0.05,0,0.0556
20,between-4,norm,3,PAR,0.01,0,0.0194
20,between-4,norm,3,RNK,0.01,0,0.0162
20,between-4,norm,3,INT,0.01,0,0.015
20,between-4,norm,3,NON,0.01,0,0.014
20,between-4,likert_5,1,PAR,0.05,0,0.0516
20,between-4,likert_5,1,RNK,0.05,0,0.053
20,between-4,likert_5,1,INT,0.05,0,0.0534
20,between-4,likert_5,1,NON,0.05,0,0.049
20,between-4,likert_5,1,PAR,0.01,0,0.0102
20,between-4,likert_5,1,RNK,0.01,0,0.0098
20,between-4,likert_5,1,INT,0.01,0,0.0102
20,between-4,likert_5,1,NON,0.01,0,0.0086
20,between-4,likert_5,1.5,PAR,0.05,0,0.0488
20,between-4,likert_5,1.5,RNK,0.05,0,0.0454
20,between-4,likert_5,1.5,INT,0.05,0,0.0478
20,between-4,likert_5,1.5,NON,0.05,0,0.0438
20,between-4,likert_5,1.5,PAR,0.01,0,0.0096
20,between-4,likert_5,1.5,RNK,0.01,0,0.0098
20,between-4,likert_5,1.5,INT,0.01,0,0.0094
20,between-4,likert_5,1.5,NON,0.01,0,0.008
20,between-4,likert_5,2,PAR,0.05,0,0.0602
20,between-4,likert_5,2,RNK,0.05,0,0.0592
20,between-4,likert_5,2,INT,0.05,0,0.0566
20,between-4,likert_5,2,NON,0.05,0,0.0568
20,between-4,likert_5,2,PAR,0.01,0,0.0154
20,between-4,likert_5,2,RNK,0.01,0,0.0164
20,between-4,likert_5,2,INT,0.01,0,0.015
20,between-4,likert_5,2,NON,0.01,0,0.014
20,between-4,likert_5,2.5,PAR,0.05,0,0.0576
20,between-4,likert_5,2.5,RNK,0.05,0,0.0582
20,between-4,likert_5,2.5,INT,0.05,0,0.0554
20,between-4,likert_5,2.5,NON,0.05,0,0.054
20,between-4,likert_5,2.5,PAR,0.01,0,0.0162
20,between-4,likert_5,2.5,RNK,0.01,0,0.0172
20,between-4,likert_5,2.5,INT,0.01,0,0.0156
20,between-4,likert_5,2.5,NON,0.01,0,0.0134
20,between-4,likert_5,3,PAR,0.05,0,0.0586
20,between-4,likert_5,3,RNK,0.05,0,0.058
20,between-4,likert_5,3,INT,0.05,0,0.0522
20,between-4,likert_5,3,NON,0.05,0,0.055
20,between-4,likert_5,3,PAR,0.01,0,0.017
20,between-4,likert_5,3,RNK,0.01,0,0.0176
20,between-4,likert_5,3,INT,0.01,0,0.015
20,between-4,likert_5,3,NON,0.01,0,0.013
20,between-4,likert_5_flex,1,PAR,0.05,0,0.0488
20,between-4,likert_5_flex,1,RNK,0.05,0,0.0538
20,between-4,likert_5_flex,1,INT,0.05,0,0.0542
20,between-4,likert_5_flex,1,NON,0.05,0,0.0508
20,between-4,likert_5_flex,1,PAR,0.01,0,0.009
20,between-4,likert_5_flex,1,RNK,0.01,0,0.011
20,between-4,likert_5_flex,1,INT,0.01,0,0.01
20,between-4,likert_5_flex,1,NON,0.01,0,0.0088
20,between-4,likert_5_flex,1.5,PAR,0.05,0,0.0638
20,between-4,likert_5_flex,1.5,RNK,0.05,0,0.0596
20,between-4,likert_5_flex,1.5,INT,0.05,0,0.0578
20,between-4,likert_5_flex,1.5,NON,0.05,0,0.0562
20,between-4,likert_5_flex,1.5,PAR,0.01,0,0.015
20,between-4,likert_5_flex,1.5,RNK,0.01,0,0.0128
20,between-4,likert_5_flex,1.5,INT,0.01,0,0.0116
20,between-4,likert_5_flex,1.5,NON,0.01,0,0.0094
20,between-4,likert_5_flex,2,PAR,0.05,0,0.0864
20,between-4,likert_5_flex,2,RNK,0.05,0,0.073
20,between-4,likert_5_flex,2,INT,0.05,0,0.0758
20,between-4,likert_5_flex,2,NON,0.05,0,0.0692
20,between-4,likert_5_flex,2,PAR,0.01,0,0.023
20,between-4,likert_5_flex,2,RNK,0.01,0,0.0182
20,between-4,likert_5_flex,2,INT,0.01,0,0.0206
20,between-4,likert_5_flex,2,NON,0.01,0,0.0156
20,between-4,likert_5_flex,2.5,PAR,0.05,0,0.099
20,between-4,likert_5_flex,2.5,RNK,0.05,0,0.078
20,between-4,likert_5_flex,2.5,INT,0.05,0,0.0778
20,between-4,likert_5_flex,2.5,NON,0.05,0,0.0738
20,between-4,likert_5_flex,2.5,PAR,0.01,0,0.0334
20,between-4,likert_5_flex,2.5,RNK,0.01,0,0.0216
20,between-4,likert_5_flex,2.5,INT,0.01,0,0.023
20,between-4,likert_5_flex,2.5,NON,0.01,0,0.019
20,between-4,likert_5_flex,3,PAR,0.05,0,0.1292
20,between-4,likert_5_flex,3,RNK,0.05,0,0.0946
20,between-4,likert_5_flex,3,INT,0.05,0,0.091
20,between-4,likert_5_flex,3,NON,0.05,0,0.0906
20,between-4,likert_5_flex,3,PAR,0.01,0,0.045
20,between-4,likert_5_flex,3,RNK,0.01,0,0.0298
20,between-4,likert_5_flex,3,INT,0.01,0,0.0274
20,between-4,likert_5_flex,3,NON,0.01,0,0.0264
20,between-4,likert_7,1,PAR,0.05,0,0.0518
20,between-4,likert_7,1,RNK,0.05,0,0.0516
20,between-4,likert_7,1,INT,0.05,0,0.0508
20,between-4,likert_7,1,NON,0.05,0,0.0476
20,between-4,likert_7,1,PAR,0.01,0,0.0094
20,between-4,likert_7,1,RNK,0.01,0,0.0106
20,between-4,likert_7,1,INT,0.01,0,0.0094
20,between-4,likert_7,1,NON,0.01,0,0.0084
20,between-4,likert_7,1.5,PAR,0.05,0,0.0592
20,between-4,likert_7,1.5,RNK,0.05,0,0.059
20,between-4,likert_7,1.5,INT,0.05,0,0.0586
20,between-4,likert_7,1.5,NON,0.05,0,0.0566
20,between-4,likert_7,1.5,PAR,0.01,0,0.0122
20,between-4,likert_7,1.5,RNK,0.01,0,0.0124
20,between-4,likert_7,1.5,INT,0.01,0,0.0126
20,between-4,likert_7,1.5,NON,0.01,0,0.0106
20,between-4,likert_7,2,PAR,0.05,0,0.0526
20,between-4,likert_7,2,RNK,0.05,0,0.0532
20,between-4,likert_7,2,INT,0.05,0,0.0512
20,between-4,likert_7,2,NON,0.05,0,0.0496
20,between-4,likert_7,2,PAR,0.01,0,0.0116
20,between-4,likert_7,2,RNK,0.01,0,0.0112
20,between-4,likert_7,2,INT,0.01,0,0.0108
20,between-4,likert_7,2,NON,0.01,0,0.0088
20,between-4,likert_7,2.5,PAR,0.05,0,0.0536
20,between-4,likert_7,2.5,RNK,0.05,0,0.0546
20,between-4,likert_7,2.5,INT,0.05,0,0.0488
20,between-4,likert_7,2.5,NON,0.05,0,0.0508
20,between-4,likert_7,2.5,PAR,0.01,0,0.0124
20,between-4,likert_7,2.5,RNK,0.01,0,0.0122
20,between-4,likert_7,2.5,INT,0.01,0,0.0116
20,between-4,likert_7,2.5,NON,0.01,0,0.01
20,between-4,likert_7,3,PAR,0.05,0,0.0622
20,between-4,likert_7,3,RNK,0.05,0,0.062
20,between-4,likert_7,3,INT,0.05,0,0.056
20,between-4,likert_7,3,NON,0.05,0,0.0576
20,between-4,likert_7,3,PAR,0.01,0,0.0174
20,between-4,likert_7,3,RNK,0.01,0,0.0166
20,between-4,likert_7,3,INT,0.01,0,0.0156
20,between-4,likert_7,3,NON,0.01,0,0.0136
20,between-4,likert_7_flex,1,PAR,0.05,0,0.0502
20,between-4,likert_7_flex,1,RNK,0.05,0,0.0544
20,between-4,likert_7_flex,1,INT,0.05,0,0.0516
20,between-4,likert_7_flex,1,NON,0.05,0,0.0508
20,between-4,likert_7_flex,1,PAR,0.01,0,0.0088
20,between-4,likert_7_flex,1,RNK,0.01,0,0.01
20,between-4,likert_7_flex,1,INT,0.01,0,0.009
20,between-4,likert_7_flex,1,NON,0.01,0,0.0084
20,between-4,likert_7_flex,1.5,PAR,0.05,0,0.0572
20,between-4,likert_7_flex,1.5,RNK,0.05,0,0.0516
20,between-4,likert_7_flex,1.5,INT,0.05,0,0.0528
20,between-4,likert_7_flex,1.5,NON,0.05,0,0.0482
20,between-4,likert_7_flex,1.5,PAR,0.01,0,0.012
20,between-4,likert_7_flex,1.5,RNK,0.01,0,0.0114
20,between-4,likert_7_flex,1.5,INT,0.01,0,0.011
20,between-4,likert_7_flex,1.5,NON,0.01,0,0.0098
20,between-4,likert_7_flex,2,PAR,0.05,0,0.0768
20,between-4,likert_7_flex,2,RNK,0.05,0,0.0642
20,between-4,likert_7_flex,2,INT,0.05,0,0.0632
20,between-4,likert_7_flex,2,NON,0.05,0,0.0598
20,between-4,likert_7_flex,2,PAR,0.01,0,0.0214
20,between-4,likert_7_flex,2,RNK,0.01,0,0.015
20,between-4,likert_7_flex,2,INT,0.01,0,0.0142
20,between-4,likert_7_flex,2,NON,0.01,0,0.0132
20,between-4,likert_7_flex,2.5,PAR,0.05,0,0.0864
20,between-4,likert_7_flex,2.5,RNK,0.05,0,0.0656
20,between-4,likert_7_flex,2.5,INT,0.05,0,0.058
20,between-4,likert_7_flex,2.5,NON,0.05,0,0.0618
20,between-4,likert_7_flex,2.5,PAR,0.01,0,0.0284
20,between-4,likert_7_flex,2.5,RNK,0.01,0,0.0184
20,between-4,likert_7_flex,2.5,INT,0.01,0,0.0172
20,between-4,likert_7_flex,2.5,NON,0.01,0,0.0144
20,between-4,likert_7_flex,3,PAR,0.05,0,0.1058
20,between-4,likert_7_flex,3,RNK,0.05,0,0.0712
20,between-4,likert_7_flex,3,INT,0.05,0,0.0652
20,between-4,likert_7_flex,3,NON,0.05,0,0.0668
20,between-4,likert_7_flex,3,PAR,0.01,0,0.033
20,between-4,likert_7_flex,3,RNK,0.01,0,0.018
20,between-4,likert_7_flex,3,INT,0.01,0,0.0172
20,between-4,likert_7_flex,3,NON,0.01,0,0.0144
